ZIPCODE,ZIP_TOTAL_PEOPLE,ZIP_AUDIENCE_PEOPLE,ZIP_TARGET_DENSITY,CUMULATIVE_REACH
85086,35996,37,0.001028,1153963
54703,36306,220,0.006060,1135478
15627,5201,217,0.041723,1044343
54603,10916,135,0.012367,1128187
53132,30396,563,0.018522,1116847
19525,13199,2910,0.220471,91039
43055,49145,22,0.000448,1160463
48327,19876,3488,0.175488,375438
15342,4329,790,0.182490,302711
53901,10968,79,0.007203,1133897
55110,32182,21,0.000653,1158577
17403,30117,4015,0.133313,657307
34471,22945,24,0.001046,1153800
32250,27260,21,0.000770,1157300
17408,20334,4429,0.217813,126541
19063,33857,3434,0.101427,797138
19341,16448,2565,0.155946,502340
48324,15995,2105,0.131604,662890
17102,6820,76,0.011144,1130045
48043,13623,98,0.007194,1134068
15697,2403,505,0.210154,170930
18974,37095,6182,0.166653,408510
34221,43708,111,0.002540,1142938
53187,137,23,0.167883,396256
49401,15499,255,0.016453,1120060
43616,17807,33,0.001853,1147299
17360,5300,177,0.033396,1070669
15301,39094,3078,0.078733,912075
15904,12824,2127,0.165861,413479
49302,7777,253,0.032532,1073428
43612,22121,29,0.001311,1150676
85259,20839,28,0.001344,1150402
49519,22632,797,0.035216,1065150
49053,6446,73,0.011325,1129741
49204,313,25,0.079872,900083
15030,755,107,0.141722,602145
18917,1825,348,0.190685,255147
49429,101,23,0.227723,65295
34243,28513,49,0.001719,1148021
27284,48731,38,0.000780,1157098
33966,13032,35,0.002686,1142134
33811,23770,26,0.001094,1153066
18202,9476,115,0.012136,1128582
34997,39872,45,0.001129,1152480
34957,24391,57,0.002337,1144104
19320,42152,3616,0.085785,878658
18603,14143,569,0.040232,1048443
16686,10507,128,0.012182,1128467
15116,12723,1627,0.127879,677175
18925,5424,1032,0.190265,264874
33844,39299,35,0.000891,1155592
48506,23439,2444,0.104271,780588
18201,16365,220,0.013443,1126345
16851,929,149,0.160388,481820
15071,9909,1438,0.145121,584005
19085,7799,90,0.011540,1129436
54729,28246,68,0.002407,1143885
53122,6212,32,0.005151,1136555
32905,22122,31,0.001401,1150050
43082,28580,30,0.001050,1153681
15236,26464,1948,0.073609,929119
48144,10638,2851,0.268002,13424
19533,5357,1163,0.217099,140814
16802,5616,140,0.024929,1101033
19090,16502,40,0.002424,1143817
19701,38591,36,0.000933,1155091
15419,2007,124,0.061784,974388
37075,59945,51,0.000851,1156072
48601,33366,300,0.008991,1132092
55129,25799,23,0.000892,1155557
53085,10301,360,0.034948,1065771
55082,32342,35,0.001082,1153287
34690,12029,24,0.001995,1146405
58104,30295,24,0.000792,1156944
48236,30201,1066,0.035297,1064353
49544,7868,1302,0.165480,418544
17745,12713,482,0.037914,1055782
18411,19467,2693,0.138337,627526
18092,2807,159,0.056644,994330
76262,35044,29,0.000828,1156443
29456,27057,43,0.001589,1148689
48357,8251,223,0.027027,1094585
48074,9285,1006,0.108347,759740
48166,11823,596,0.050410,1016367
48724,414,21,0.050725,1014766
18980,340,82,0.241176,39661
34212,23935,52,0.002173,1145131
34108,17405,45,0.002585,1142513
33803,24409,35,0.001434,1149759
34211,30167,67,0.002221,1144904
37129,48353,26,0.000538,1159800
34715,22990,23,0.001000,1154381
27703,52351,30,0.000573,1159527
48167,22259,1538,0.069096,941840
34698,37157,25,0.000673,1158317
34219,37168,59,0.001587,1148801
32951,12422,21,0.001691,1148188
32176,16003,29,0.001812,1147376
45140,48008,24,0.000500,1160145
53548,14631,52,0.003554,1139337
34481,32835,35,0.001066,1153515
22554,50503,30,0.000594,1159231
29910,45707,25,0.000547,1159774
53154,29351,318,0.010834,1130766
32128,21020,28,0.001332,1150523
16046,16106,3326,0.206507,180609
08055,27990,42,0.001501,1149264
18104,39318,3128,0.079556,903211
54220,31602,663,0.020980,1109956
48507,27373,1095,0.040003,1049538
49254,3091,439,0.142025,600046
32836,19565,24,0.001227,1151540
48341,15162,49,0.003232,1140179
17104,12717,53,0.004168,1137930
34771,30574,22,0.000720,1157719
29566,29353,30,0.001022,1154017
43123,54980,26,0.000473,1160368
77459,67726,21,0.000310,1160855
21015,28074,38,0.001354,1150330
48060,35908,4381,0.122006,715036
44446,16626,24,0.001444,1149682
48346,20760,4020,0.193642,234094
49931,5184,58,0.011188,1129969
49783,16149,319,0.019754,1114121
34275,26618,88,0.003306,1140027
15139,6111,1090,0.178367,343844
54021,6095,38,0.006235,1135217
53098,9833,188,0.019119,1115244
08050,25695,24,0.000934,1155055
15025,13935,2053,0.147327,559612
15012,13521,985,0.072850,930823
19605,16146,2452,0.151864,529528
18704,24471,141,0.005762,1136007
17815,21494,502,0.023355,1104700
15690,6525,363,0.055632,998477
18936,239,28,0.117155,724367
17501,3667,976,0.266158,14400
15636,3283,842,0.256473,15913
15142,1864,395,0.211910,151397
19343,7211,236,0.032728,1072736
15031,406,58,0.142857,595673
46628,23111,35,0.001514,1149168
17110,23463,2095,0.089290,855487
18504,15725,1249,0.079428,905461
