ZIPCODE,ZIP_TOTAL_PEOPLE,ZIP_AUDIENCE_PEOPLE,ZIP_TARGET_DENSITY,CUMULATIVE_REACH
19510,6117,427,0.069805,930287
29577,34090,29,0.000851,1093203
19805,32007,145,0.004530,1079800
16232,3230,85,0.026316,1067926
16313,1420,49,0.034507,1052027
16440,680,21,0.030882,1060431
18083,460,32,0.069565,930744
16655,1283,33,0.025721,1069238
16443,1089,50,0.045914,1017969
15725,1034,29,0.028046,1065561
17026,2848,90,0.031601,1058176
18434,3532,412,0.116648,637271
16001,32503,1741,0.053564,995599
16743,3062,87,0.028413,1064942
17201,19516,1639,0.083982,851615
16925,2804,53,0.018902,1075642
16841,4113,134,0.032580,1055445
16822,1684,59,0.035036,1051430
15639,1585,60,0.037855,1045876
11201,52832,80,0.001514,1087703
90292,21127,22,0.001041,1091513
23462,51710,31,0.000599,1095650
18470,2047,68,0.033219,1054713
