ZIPCODE,ZIP_TOTAL_PEOPLE,ZIP_AUDIENCE_PEOPLE,ZIP_TARGET_DENSITY,CUMULATIVE_REACH
72227,8640,75,0.008681,175273
20754,6452,56,0.008679,175329
20724,13622,118,0.008662,175447
15217,23427,202,0.008623,175649
20764,3946,34,0.008616,175683
48837,17946,154,0.008581,175837
20141,7147,61,0.008535,175898
10560,4102,35,0.008532,175933
12203,21103,180,0.008530,176113
95448,13043,111,0.008510,176224
21104,5652,48,0.008493,176272
20886,24854,211,0.008490,176483
20121,20975,178,0.008486,176661
94133,17262,146,0.008458,176807
21043,38785,328,0.008457,177135
20695,13247,112,0.008455,177247
23219,4502,38,0.008441,177285
44072,4504,38,0.008437,177323
80207,19323,163,0.008436,177486
20872,11277,95,0.008424,177581
43212,18910,159,0.008408,177740
21230,29408,247,0.008399,177987
21754,6583,55,0.008355,178042
29205,18922,158,0.008350,178200
02090,14052,117,0.008326,178317
07042,24875,207,0.008322,178524
55415,4569,38,0.008317,178562
94515,4694,39,0.008308,178601
02476,14570,121,0.008305,178722
10507,3985,33,0.008281,178755
66611,7609,63,0.008280,178818
94619,18858,156,0.008272,178974
21108,17325,143,0.008254,179117
08540,40068,330,0.008236,179447
78730,8396,69,0.008218,179516
20105,25389,208,0.008193,179724
20152,26272,215,0.008184,179939
11217,33116,270,0.008153,180209
90068,20238,164,0.008104,180373
02113,5184,42,0.008102,180415
75229,22858,185,0.008093,180637
03862,4572,37,0.008093,180637
08525,4575,37,0.008087,180674
02118,21919,177,0.008075,180851
20132,15558,125,0.008034,180976
20158,3859,31,0.008033,181007
17055,35767,287,0.008024,181294
02210,5865,47,0.008014,181341
20879,19345,155,0.008012,181496
36111,10489,84,0.008008,181580
02130,31112,248,0.007971,181828
12209,7410,59,0.007962,181887
43215,17116,136,0.007946,182023
80210,33972,269,0.007918,182292
64112,8093,64,0.007908,182356
80303,20376,161,0.007901,182517
15232,9501,75,0.007894,182592
98119,20807,164,0.007882,182756
33480,13090,103,0.007869,182859
48840,11698,92,0.007865,182951
65043,8530,67,0.007855,183018
17036,20394,160,0.007845,183178
48915,8435,66,0.007825,183244
03301,24294,190,0.007821,183434
78209,33466,261,0.007799,183695
06880,25842,201,0.007778,183896
60606,2702,21,0.007772,183917
11568,3347,26,0.007768,183943
21601,21645,168,0.007762,184111
20135,2843,22,0.007738,184133
90265,13067,101,0.007729,184234
17111,27565,213,0.007727,184447
94602,23065,178,0.007717,184625
72202,8047,62,0.007705,184687
85018,31558,243,0.007700,184930
20155,30427,234,0.007691,185164
21202,16573,127,0.007663,185291
11109,4048,31,0.007658,185322
91011,18026,138,0.007656,185460
21076,20259,155,0.007651,185615
21045,32445,248,0.007644,186142
21218,36498,279,0.007644,186142
20876,19425,148,0.007619,186290
59601,25103,191,0.007609,186481
99801,23802,181,0.007604,186662
77098,12403,94,0.007579,186756
10803,10562,80,0.007574,186836
83712,7662,58,0.007570,186894
70808,25689,194,0.007552,187088
21228,42108,317,0.007528,187405
60521,15421,116,0.007522,187521
55102,15564,117,0.007517,187638
12198,6670,50,0.007496,187688
94903,23364,175,0.007490,187863
02906,22327,167,0.007480,188030
83702,19269,144,0.007473,188174
21771,28130,210,0.007465,188384
21163,6570,49,0.007458,188433
21075,26042,194,0.007450,188627
48895,10471,78,0.007449,188705
43085,21079,157,0.007448,188862
55401,10218,76,0.007438,188938
46202,16012,119,0.007432,189057
87104,10098,75,0.007427,189132
25311,7826,58,0.007411,189190
06830,20559,152,0.007393,189342
21666,12717,94,0.007392,189458
66409,2976,22,0.007392,189458
20180,7446,55,0.007387,189513
21673,2986,22,0.007368,189535
63124,10885,80,0.007350,189615
48912,15394,113,0.007341,189728
70810,34151,250,0.007320,190153
23238,23907,175,0.007320,190153
95817,9850,72,0.007310,190225
21209,23259,170,0.007309,190706
32303,42550,311,0.007309,190706
20794,9170,67,0.007306,190773
03229,5342,39,0.007301,190812
78739,16617,121,0.007282,190933
27605,5651,41,0.007255,191144
20601,23431,170,0.007255,191144
43054,22666,164,0.007236,191308
21663,3179,23,0.007235,191331
77401,14955,108,0.007222,191439
12202,6238,45,0.007214,191484
21144,31209,225,0.007209,191760
03304,7074,51,0.007209,191760
94107,22618,163,0.007207,191923
23103,6811,49,0.007194,191972
10533,6673,48,0.007193,192020
30313,6125,44,0.007184,192064
21704,17688,127,0.007180,192191
66604,17300,124,0.007168,192315
02129,15359,110,0.007162,192425
20646,19552,140,0.007160,192565
20136,24026,172,0.007159,192737
98501,40423,289,0.007149,193026
60202,26731,191,0.007145,193217
95831,33761,241,0.007138,193458
21710,4346,31,0.007133,193489
10280,5891,42,0.007130,193531
98102,23669,168,0.007098,193699
46260,25826,183,0.007086,193882
78704,40383,286,0.007082,194168
30342,25336,179,0.007065,194347
06820,18273,129,0.007060,194531
66617,7790,55,0.007060,194531
48917,29666,209,0.007045,194740
20110,31828,224,0.007038,194964
20166,10393,73,0.007024,195037
72205,16803,118,0.007023,195155
62613,3134,22,0.007020,195177
55391,14542,102,0.007014,195279
58503,27590,193,0.006995,195472
95070,28262,197,0.006970,195669
62675,5171,36,0.006962,195705
11238,48842,340,0.006961,196045
10543,15667,109,0.006957,196245
92067,6900,48,0.006957,196245
37220,6181,43,0.006957,196245
07924,6905,48,0.006951,196293
98199,19629,136,0.006929,196429
20637,5778,40,0.006923,196469
10506,5349,37,0.006917,196506
43206,20387,141,0.006916,196647
78231,7825,54,0.006901,196701
50309,8120,56,0.006897,196757
48808,5231,36,0.006882,196793
55108,10904,75,0.006878,196868
55410,17900,123,0.006872,196991
20187,16487,113,0.006854,197104
20622,4091,28,0.006844,197132
21797,8768,60,0.006843,197192
80218,19881,136,0.006841,197328
43220,22955,157,0.006839,197485
07028,7167,49,0.006837,197534
21201,13912,95,0.006829,197629
22026,15971,109,0.006825,197738
07901,20242,138,0.006818,197876
06107,17172,117,0.006813,197993
97221,12057,82,0.006801,198075
21774,15448,105,0.006797,198180
95822,30613,208,0.006794,198388
20111,25037,170,0.006790,198558
20115,5896,40,0.006784,198734
48009,20046,136,0.006784,198734
11231,28652,194,0.006771,198928
20602,22345,151,0.006758,199079
97201,17484,118,0.006749,199197
98110,24767,167,0.006743,199364
30339,28492,191,0.006704,199555
15215,10910,73,0.006691,199628
07940,13623,91,0.006680,199882
32789,24402,163,0.006680,199882
95618,18716,125,0.006679,200007
12309,26668,178,0.006675,200277
63105,13782,92,0.006675,200277
07046,4047,27,0.006672,200304
21224,36023,240,0.006662,200544
12009,6914,46,0.006653,200590
02186,23782,158,0.006644,200789
78722,6171,41,0.006644,200789
20676,3317,22,0.006632,200811
02494,8770,58,0.006613,200869
91103,19362,128,0.006611,200997
20119,3645,24,0.006584,201021
44108,19167,126,0.006574,201147
60305,9595,63,0.006566,201210
48848,7316,48,0.006561,201258
94110,48337,317,0.006558,201575
55405,11596,76,0.006554,201651
17025,15117,99,0.006549,201750
64113,11760,77,0.006548,201827
23113,25048,164,0.006547,201991
01944,5212,34,0.006523,202025
94702,14115,92,0.006518,202117
21122,55113,358,0.006496,202475
21131,7396,48,0.006490,202523
60605,23094,149,0.006452,202702
73105,4650,30,0.006452,202702
01770,3878,25,0.006447,202727
21784,35377,228,0.006445,202955
21093,35586,229,0.006435,203184
21090,9364,60,0.006408,203244
10005,6247,40,0.006403,203284
19119,24071,154,0.006398,203438
48842,19541,125,0.006397,203563
75248,29709,190,0.006395,203753
21658,3757,24,0.006388,203777
21638,4710,30,0.006369,203807
83340,4558,29,0.006362,203836
21231,13999,89,0.006358,203925
55436,12610,80,0.006344,204005
17033,13108,83,0.006332,204088
43214,24357,154,0.006323,204242
22193,59484,376,0.006321,204618
01451,5223,33,0.006318,204651
55419,22017,139,0.006313,204790
39202,5555,35,0.006301,204825
06840,18094,114,0.006300,204939
40601,45986,289,0.006285,205228
60654,17215,108,0.006274,205336
73118,9883,62,0.006273,205436
55101,6058,38,0.006273,205436
50325,15466,97,0.006272,205533
25443,6863,43,0.006265,205576
78723,26340,165,0.006264,205741
46220,31740,198,0.006238,205939
55116,20851,130,0.006235,206069
22172,7860,49,0.006234,206118
20164,26848,167,0.006220,206285
20640,8529,53,0.006214,206338
77057,24965,155,0.006209,206493
50321,5962,37,0.006206,206530
10524,3870,24,0.006202,206554
98506,17452,108,0.006188,206662
04105,11985,74,0.006174,206736
94706,14584,90,0.006171,206826
78749,27756,171,0.006161,206997
27517,27294,168,0.006155,207354
98502,30709,189,0.006155,207354
99517,13653,84,0.006152,207438
27601,8779,54,0.006151,207492
98101,13191,81,0.006141,207573
76107,25422,156,0.006136,207729
27514,26278,161,0.006127,207890
48070,6051,37,0.006115,207927
53726,5235,32,0.006113,207959
94041,9984,61,0.006110,208020
80111,27859,170,0.006102,208190
76109,18703,114,0.006095,208304
10514,10355,63,0.006084,208367
22191,48665,296,0.006082,208663
02472,28522,173,0.006065,208836
17007,5279,32,0.006062,208868
22554,50519,306,0.006057,209174
22556,22456,136,0.006056,209310
82009,25938,157,0.006053,209467
77006,19993,121,0.006052,209588
21217,25292,153,0.006049,209741
60615,31458,190,0.006040,209931
55356,5136,31,0.006036,209962
78736,8294,50,0.006028,210012
23227,22082,133,0.006023,210145
90069,18289,110,0.006015,210255
72223,21966,132,0.006009,210387
12033,6994,42,0.006005,210429
55104,30366,182,0.005994,210611
23233,27210,163,0.005990,210774
94595,17533,105,0.005989,210879
12047,17038,102,0.005987,210981
08530,7197,43,0.005975,211024
78619,5695,34,0.005970,211058
02144,19962,119,0.005961,211177
84108,12254,73,0.005957,211250
36064,11092,66,0.005950,211416
92663,16807,100,0.005950,211416
92660,29610,176,0.005944,211592
30319,35871,213,0.005938,211805
07079,15331,91,0.005936,212008
55403,12804,76,0.005936,212008
20685,6065,36,0.005936,212008
95691,26798,159,0.005933,212167
02132,23961,142,0.005926,212309
23229,28050,166,0.005918,212475
12110,17070,101,0.005917,212576
68132,10490,62,0.005910,212638
21758,4405,26,0.005902,212664
29206,16625,98,0.005895,212762
37204,12731,75,0.005891,212837
21716,6806,40,0.005877,212877
02141,10383,61,0.005875,212938
36117,39324,231,0.005874,213169
93923,11268,66,0.005857,213235
66614,25303,148,0.005849,213383
21755,5476,32,0.005844,213415
78702,23125,135,0.005838,213550
02139,26244,153,0.005830,213703
98122,35167,205,0.005829,213908
21701,36976,215,0.005815,214123
35223,11017,64,0.005809,214187
98105,28601,166,0.005804,214353
30308,21198,123,0.005802,214476
73120,28302,164,0.005795,214640
66618,8286,48,0.005793,214688
06878,6922,40,0.005779,214728
25304,6763,39,0.005767,214837
06119,12138,70,0.005767,214837
95616,27061,156,0.005765,214993
68512,10613,61,0.005748,215054
10708,18304,105,0.005736,215159
20678,11333,65,0.005735,215224
32344,11168,64,0.005731,215288
12180,37893,217,0.005727,215634
53705,22525,129,0.005727,215634
10591,17853,102,0.005713,215736
12184,6128,35,0.005711,215771
70809,19094,109,0.005709,215880
55115,7540,43,0.005703,215923
78737,19829,113,0.005699,216036
75219,22341,127,0.005685,216163
17339,5988,34,0.005678,216197
97212,25858,146,0.005646,216343
90266,30326,171,0.005639,216514
17109,18822,106,0.005632,216620
30324,25428,143,0.005624,216763
68434,6947,39,0.005614,216802
93105,21217,119,0.005609,216921
19333,6078,34,0.005594,216955
98144,27539,154,0.005592,217109
89703,10558,59,0.005588,217168
30317,13782,77,0.005587,217245
21030,20412,114,0.005585,217359
53717,11465,64,0.005582,217423
12144,16850,94,0.005579,217517
19031,4843,27,0.005575,217544
94116,34451,192,0.005573,217736
10504,7363,41,0.005568,217777
17319,8641,48,0.005555,217825
